id,detail_url
95441,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95441
95437,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95437
95400,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95400
95380,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95380
95350,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95350
95311,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95311
95303,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95303
95288,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95288
95273,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95273
95232,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95232
95231,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95231
95230,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95230
95207,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95207
95176,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95176
95151,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95151
95113,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95113
95092,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95092
95004,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95004
94991,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94991
94988,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94988
94922,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94922
94900,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94900
94888,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94888
94886,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94886
94884,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94884
94883,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94883
94882,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94882
94881,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94881
94880,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94880
94878,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94878
94876,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94876
94875,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94875
94820,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94820
94804,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94804
94768,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94768
94750,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94750
94701,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94701
94662,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94662
94658,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94658
94632,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94632
94428,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94428
94419,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94419
94396,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94396
94357,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94357
94247,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94247
94139,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94139
94079,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94079
93999,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=93999
93704,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=93704
92351,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=92351
